cosine_bin_center,count
-0.983333,0
-0.950000,0
-0.916667,0
-0.883333,0
-0.850000,0
-0.816667,1
-0.783333,1
-0.750000,1
-0.716667,0
-0.683333,1
-0.650000,2
-0.616667,3
-0.583333,2
-0.550000,2
-0.516667,3
-0.483333,4
-0.450000,2
-0.416667,6
-0.383333,5
-0.350000,11
-0.316667,6
-0.283333,5
-0.250000,8
-0.216667,7
-0.183333,7
-0.150000,15
-0.116667,11
-0.083333,12
-0.050000,25
-0.016667,27
0.016667,26
0.050000,32
0.083333,33
0.116667,42
0.150000,50
0.183333,81
0.216667,131
0.250000,137
0.283333,165
0.316667,205
0.350000,254
0.383333,269
0.416667,310
0.450000,348
0.483333,353
0.516667,399
0.550000,368
0.583333,347
0.616667,400
0.650000,364
0.683333,309
0.716667,295
0.750000,255
0.783333,218
0.816667,161
0.850000,121
0.883333,95
0.916667,57
0.950000,43
0.983333,44220
