matrix,global_cos,per_row_0.3
wte.weight,-0.082033,0.983759
wpe.weight,0.341851,0.588867
blocks.0.attn.q_proj.weight,0.279377,0.528646
blocks.0.attn.k_proj.weight,0.303756,0.569010
blocks.0.attn.v_proj.weight,-0.097400,0.696615
blocks.0.attn.o_proj.weight,-0.202570,0.561198
blocks.0.mlp.c_fc.weight,-0.283221,0.673177
blocks.0.mlp.c_proj.weight,-0.484744,0.828125
blocks.1.attn.q_proj.weight,-0.172500,0.554688
blocks.1.attn.k_proj.weight,-0.073478,0.707031
blocks.1.attn.v_proj.weight,-0.515727,0.960938
blocks.1.attn.o_proj.weight,-0.439933,0.951823
blocks.1.mlp.c_fc.weight,-0.440164,0.840169
blocks.1.mlp.c_proj.weight,-0.264979,0.462240
blocks.2.attn.q_proj.weight,-0.176565,0.683594
blocks.2.attn.k_proj.weight,-0.135973,0.523438
blocks.2.attn.v_proj.weight,-0.570805,0.944010
blocks.2.attn.o_proj.weight,-0.367072,0.852865
blocks.2.mlp.c_fc.weight,-0.345460,0.842448
blocks.2.mlp.c_proj.weight,-0.226884,0.417969
blocks.3.attn.q_proj.weight,-0.153165,0.789062
blocks.3.attn.k_proj.weight,-0.126912,0.634115
blocks.3.attn.v_proj.weight,-0.515020,0.897135
blocks.3.attn.o_proj.weight,-0.419226,0.743490
blocks.3.mlp.c_fc.weight,-0.358925,0.810872
blocks.3.mlp.c_proj.weight,-0.215990,0.381510
blocks.4.attn.q_proj.weight,0.126869,0.768229
blocks.4.attn.k_proj.weight,0.201387,0.470052
blocks.4.attn.v_proj.weight,-0.518960,0.885417
blocks.4.attn.o_proj.weight,-0.439883,0.687500
blocks.4.mlp.c_fc.weight,-0.384443,0.803711
blocks.4.mlp.c_proj.weight,-0.326251,0.497396
blocks.5.attn.q_proj.weight,-0.006034,0.746094
blocks.5.attn.k_proj.weight,0.118544,0.394531
blocks.5.attn.v_proj.weight,-0.512055,0.903646
blocks.5.attn.o_proj.weight,-0.537369,0.747396
blocks.5.mlp.c_fc.weight,-0.565065,0.809896
blocks.5.mlp.c_proj.weight,-0.474369,0.712240
blocks.6.attn.q_proj.weight,-0.007432,0.720052
blocks.6.attn.k_proj.weight,0.194944,0.375000
blocks.6.attn.v_proj.weight,-0.586383,0.911458
blocks.6.attn.o_proj.weight,-0.606672,0.770833
blocks.6.mlp.c_fc.weight,-0.701492,0.790690
blocks.6.mlp.c_proj.weight,-0.604460,0.820312
blocks.7.attn.q_proj.weight,-0.067242,0.660156
blocks.7.attn.k_proj.weight,0.029712,0.263021
blocks.7.attn.v_proj.weight,-0.600213,0.890625
blocks.7.attn.o_proj.weight,-0.613590,0.678385
blocks.7.mlp.c_fc.weight,-0.782676,0.809570
blocks.7.mlp.c_proj.weight,-0.721505,0.924479
blocks.8.attn.q_proj.weight,-0.232000,0.615885
blocks.8.attn.k_proj.weight,-0.081552,0.214844
blocks.8.attn.v_proj.weight,-0.666437,0.898438
blocks.8.attn.o_proj.weight,-0.672030,0.757812
blocks.8.mlp.c_fc.weight,-0.783115,0.822591
blocks.8.mlp.c_proj.weight,-0.755257,0.941406
blocks.9.attn.q_proj.weight,-0.418986,0.604167
blocks.9.attn.k_proj.weight,-0.175725,0.316406
blocks.9.attn.v_proj.weight,-0.740090,0.851562
blocks.9.attn.o_proj.weight,-0.610060,0.703125
blocks.9.mlp.c_fc.weight,-0.708486,0.776042
blocks.9.mlp.c_proj.weight,-0.703878,0.932292
blocks.10.attn.q_proj.weight,-0.224903,0.447917
blocks.10.attn.k_proj.weight,-0.087219,0.226562
blocks.10.attn.v_proj.weight,-0.592683,0.768229
blocks.10.attn.o_proj.weight,-0.357091,0.541667
blocks.10.mlp.c_fc.weight,-0.652565,0.749349
blocks.10.mlp.c_proj.weight,-0.587411,0.855469
blocks.11.attn.q_proj.weight,-0.083606,0.286458
blocks.11.attn.k_proj.weight,-0.031851,0.174479
blocks.11.attn.v_proj.weight,-0.308466,0.634115
blocks.11.attn.o_proj.weight,-0.098518,0.389323
blocks.11.mlp.c_fc.weight,-0.675705,0.759766
blocks.11.mlp.c_proj.weight,-0.500286,0.803385
