n_rows,cumulative_mass_frac
1,0.14203
2,0.24991
3,0.34691
4,0.41348
5,0.44643
6,0.47424
7,0.49586
8,0.51561
9,0.53021
10,0.53993
11,0.54947
12,0.55879
13,0.56551
14,0.57086
15,0.57597
16,0.58098
17,0.58568
18,0.59035
19,0.59448
20,0.59824
21,0.60193
22,0.60549
23,0.60891
24,0.61218
25,0.61536
26,0.61851
27,0.62152
28,0.62444
29,0.62726
30,0.63004
31,0.63269
32,0.63524
33,0.63773
34,0.64014
35,0.64251
36,0.64488
37,0.64723
38,0.64953
39,0.65182
40,0.65374
41,0.65565
42,0.65756
43,0.65945
44,0.66131
45,0.66315
46,0.66493
47,0.66670
48,0.66843
49,0.67008
50,0.67165
51,0.67322
52,0.67474
53,0.67621
54,0.67765
55,0.67909
56,0.68049
57,0.68185
58,0.68320
59,0.68455
60,0.68586
61,0.68715
62,0.68842
63,0.68968
64,0.69094
65,0.69219
66,0.69343
67,0.69467
68,0.69589
69,0.69708
70,0.69823
71,0.69935
72,0.70047
73,0.70159
74,0.70269
75,0.70376
76,0.70483
77,0.70590
78,0.70691
79,0.70789
80,0.70885
81,0.70981
82,0.71076
83,0.71170
84,0.71264
85,0.71357
86,0.71450
87,0.71540
88,0.71630
89,0.71716
90,0.71802
91,0.71888
92,0.71973
93,0.72059
94,0.72142
95,0.72226
96,0.72308
97,0.72391
98,0.72472
99,0.72552
100,0.72631
100,0.72631
110,0.73387
120,0.74082
130,0.74739
140,0.75343
150,0.75899
160,0.76411
170,0.76881
180,0.77325
190,0.77747
200,0.78154
210,0.78544
220,0.78917
230,0.79270
240,0.79610
250,0.79939
260,0.80256
270,0.80565
280,0.80866
290,0.81155
300,0.81432
310,0.81701
320,0.81963
330,0.82216
340,0.82458
350,0.82689
360,0.82913
370,0.83127
380,0.83333
390,0.83531
400,0.83725
410,0.83912
420,0.84094
430,0.84270
440,0.84442
450,0.84611
460,0.84779
470,0.84943
480,0.85103
490,0.85258
500,0.85409
510,0.85556
520,0.85700
530,0.85842
540,0.85981
550,0.86118
560,0.86252
570,0.86383
580,0.86512
590,0.86638
600,0.86761
