rank,token_id,token,cosine,pct_mass
1,13,.,-0.7550,14.2031
2,198,"
",-0.9133,10.7875
3,262, the,-0.7253,9.7008
4,11,",",-0.7239,6.6567
5,286, of,-0.7629,3.2955
6,284, to,-0.5016,2.7802
7,290, and,-0.2355,2.1620
8,257, a,-0.3083,1.9756
9,318, is,-0.0850,1.4601
10,12,-,-0.5179,0.6715
11,345, you,-0.5260,0.5353
12,460, can,-0.5594,0.5108
13,247,�,-0.9017,0.5008
14,326, that,-0.2087,0.4704
15,307, be,-0.3938,0.4135
16,389, are,-0.4531,0.3760
17,329, for,-0.2018,0.3561
18,447,�,-0.2539,0.3003
19,13265, carb,-0.2704,0.2653
20,351, with,-0.0773,0.2495
21,423, have,-0.2020,0.2404
22,340, it,-0.0709,0.2293
23,383, The,-0.1049,0.1912
24,82,s,-0.3079,0.1363
25,632, It,-0.4494,0.1296
26,481, will,-0.2563,0.1262
27,20367, Soph,-0.2515,0.1226
28,25,:,-0.0839,0.1072
29,416, by,-0.0363,0.1071
30,3201,rain,-0.6448,0.1004
31,743, may,-0.0778,0.0981
32,770, This,-0.6218,0.0955
33,30,?,-0.0516,0.0898
34,420,oc,-0.0266,0.0826
35,250,�,-0.3989,0.0778
36,407, not,-0.1453,0.0756
37,587, been,-0.1967,0.0584
38,1304,ider,-0.2951,0.0554
39,27623, embro,-0.2014,0.0461
40,246,�,-0.1589,0.0453
41,29051, Quite,-0.8009,0.0451
42,466, do,-0.1130,0.0381
43,251,�,-0.4003,0.0338
44,42447, Quentin,-0.1079,0.0306
45,510, up,-0.1291,0.0302
46,815, should,-0.0239,0.0293
47,1119, They,-0.0884,0.0285
48,1037, help,-0.1456,0.0277
49,973, used,-0.0037,0.0271
50,818,In,-0.2459,0.0254
51,2312, These,-0.2269,0.0195
52,43198,Decre,-0.1982,0.0188
53,4625,under,-0.3741,0.0187
54,35,D,-0.0306,0.0181
55,17589, Ing,-0.1473,0.0172
56,23862, outputs,-0.3131,0.0158
57,1318, There,-0.1240,0.0149
58,1654, sure,-0.1308,0.0138
59,887, But,-0.0758,0.0126
60,2102, However,-0.1143,0.0123
61,28470, Aside,-0.3920,0.0111
62,26065, Infect,-0.2497,0.0104
63,34746, coloured,-0.0789,0.0102
64,11580,….,-0.0580,0.0097
65,2859, exc,-0.0946,0.0095
66,48974, Pog,-0.1774,0.0093
67,3025, whose,-0.0907,0.0092
68,23355, conceptual,-0.5921,0.0078
69,28948, induct,-0.1963,0.0078
70,26254,Cut,-0.0412,0.0078
71,850, sub,-0.0360,0.0077
72,13921,Does,-0.5176,0.0072
73,39869, Amin,-0.3660,0.0067
74,17148,ablish,-0.7476,0.0065
75,5677,itutional,-0.2995,0.0065
76,35596,Simply,-0.0496,0.0062
77,2785, potential,-0.3111,0.0061
78,34946, ammon,-0.2448,0.0060
79,22907, exacerb,-0.0811,0.0055
80,11080, suitable,-0.0730,0.0054
81,312,id,-0.0235,0.0053
82,14623, metabol,-0.1755,0.0051
83,68,e,-0.0678,0.0051
84,2195, Ass,-0.2174,0.0049
85,60,],-0.0512,0.0047
86,5419, helps,-0.0316,0.0043
87,6674, Maybe,-0.3439,0.0043
88,32702, motif,-0.4332,0.0042
89,270,it,-0.2737,0.0040
90,4042, Most,-0.0196,0.0039
91,4127,ears,-0.2810,0.0038
92,1153,ient,-0.0434,0.0037
93,34721, adherence,-0.1684,0.0036
94,3853, choose,-0.0049,0.0033
95,321,am,-0.2385,0.0033
96,17596, exert,-0.1077,0.0032
97,31426,Lower,-0.0670,0.0032
98,16794,help,-0.3126,0.0032
99,42456,haust,-0.3104,0.0031
100,8625,inst,-0.1580,0.0031
101,9631,cover,-0.0980,0.0031
102,34619,ogly,-0.3435,0.0031
103,4828,isher,-0.4322,0.0031
104,22874,xton,-0.0119,0.0031
105,39580,gall,-0.0206,0.0030
106,8902, rapidly,-0.1640,0.0030
107,10062, Est,-0.4192,0.0030
108,13302, Emb,-0.2956,0.0030
109,400,th,-0.0532,0.0029
110,8344,rec,-0.1558,0.0029
111,49026,Enhanced,-0.0882,0.0029
112,25387, mitochond,-0.2349,0.0029
113,1840,agon,-0.2376,0.0028
114,41480,ographies,-0.1304,0.0027
115,4655, disco,-0.0604,0.0026
116,37058,Generally,-0.1209,0.0025
117,2575,urch,-0.0587,0.0025
118,16795, interpre,-0.0075,0.0025
119,40162, multimedia,-0.0185,0.0024
120,919,cess,-0.0714,0.0024
121,42016, Sear,-0.0279,0.0023
122,2934,de,-0.1176,0.0023
123,1188, val,-0.0900,0.0023
124,4765, Security,-0.1607,0.0023
125,18023, Often,-0.2358,0.0022
126,962,ank,-0.3360,0.0022
127,16130,Notes,-0.0089,0.0022
128,5317,Int,-0.1062,0.0022
129,41927, ker,-0.1282,0.0021
130,2352, abs,-0.0031,0.0020
131,25425,EF,-0.0576,0.0020
132,3691, vs,-0.0942,0.0019
133,2084, ago,-0.2749,0.0018
134,4039, chief,-0.0262,0.0018
135,10714, Local,-0.0034,0.0017
136,16573, adapted,-0.0199,0.0016
137,6273, contrast,-0.0159,0.0016
138,712,erv,-0.0336,0.0014
139,4003, notice,-0.0090,0.0012
140,3792,Is,-0.1295,0.0011
