active_cosine_bin_center,count
-0.983333,0
-0.950000,0
-0.916667,2
-0.883333,0
-0.850000,0
-0.816667,1
-0.783333,0
-0.750000,3
-0.716667,2
-0.683333,0
-0.650000,1
-0.616667,1
-0.583333,1
-0.550000,1
-0.516667,4
-0.483333,0
-0.450000,2
-0.416667,4
-0.383333,4
-0.350000,4
-0.316667,6
-0.283333,7
-0.250000,10
-0.216667,6
-0.183333,6
-0.150000,8
-0.116667,14
-0.083333,19
-0.050000,13
-0.016667,19
0.016667,33
0.050000,19
0.083333,47
0.116667,44
0.150000,58
0.183333,65
0.216667,71
0.250000,83
0.283333,107
0.316667,123
0.350000,142
0.383333,165
0.416667,183
0.450000,196
0.483333,219
0.516667,253
0.550000,239
0.583333,259
0.616667,246
0.650000,226
0.683333,239
0.716667,201
0.750000,170
0.783333,130
0.816667,107
0.850000,74
0.883333,35
0.916667,16
0.950000,4
0.983333,39
