step,muon_global,muon_perrow
1,0.988730,0.997754
50,0.713587,0.990975
100,0.060153,0.976940
150,-0.267147,0.970499
200,-0.171260,0.971593
250,-0.251879,0.976722
300,-0.144408,0.979624
350,-0.155939,0.983262
400,-0.127102,0.987417
450,-0.073245,0.985866
500,-0.069268,0.986999
550,-0.067274,0.987794
600,-0.095427,0.986721
650,-0.070574,0.973541
700,-0.102277,0.955173
750,-0.105323,0.959944
800,-0.149492,0.962747
850,-0.111715,0.981493
900,-0.073121,0.981174
950,-0.103929,0.975151
1000,-0.082033,0.983759
